Növenyrendsz. Novényföldr. Tansz., Eötvös Loránd Tudományegyet. Budapest	Abstr. Bot. (Budapest)
Fl. des Serres	Ann. Gén. Hort.
Kew Mag.	Bot. Mag. (Kew Mag.)
Bijdr.	Bijdr. Fl. Ned. Ind.
Fl. Filip., ed. 3	Nov. App.
Roxb. Fl. Ind., ed. Carey & Wall.	Fl. Ind. (Carey & Wallich ed.)
Fl. Nov.-Zel.	Bot. Antarct. Voy. II. (Fl. Nov.-Zel.).
in Fl. Rep. Cuba	Fl. Rep. Cuba, Ser. A. Pl. Vasc.
Introd.	Introd. Hist. Nat.
Invest. Stud. Nat., Mus. Hist. Nat. Shanghaiense	Invest. Stud. Nat.
Prodr. Veg. Ind. Occ.	Prodr. [O. P. Swartz]
Cat. Pl. Horti Paris.	Tabl. École Bot., ed. 3 (Cat. Pl. Horti Paris)
Forester's Man. Bot.	Fl. Sylv. S. India
Bol. Bot. (São Paulo)	Bol. Bot. Univ. São Paulo
Bull. Univ. Mus. Univ. Tokyo	Fl. E. Himalaya
Exsicc. (Herb. Norm.)	Herb. Norm.
Mém. Mus. Par.	Mém. Mus. Hist. Nat.
Sichuan Daxue Xuebao, Zir. Kexue	J. Sichuan Univ., Nat. Sci. Ed.
Hortus Kew. (W. Aiton)	Hortus Kewensis
Hortus Kew. (W.T. Aiton), ed. 2.	Hortus Kewensis
For. Man. Bot.	Fl. Sylv. S. India
Beitr. Forstw. Nordam. Holz.	Beytr. Teut. Forstwiss.
Fl. Antarct.	Bot. Antarct. Voy. I. (Fl. Antarct.).
Narr. Exped. C. Australia	Bot. Sturt's Exped. Australia
Monogr. Junc. Cap	Abh. Naturwiss. Vereins Bremen
Acta Soc. Regiae Sci. Indo-Neêrl.	Acta Soc. Regiae Sci. Indo-Neerl.
in Verh. Natuurk. Ver. Ned. Ind. Bat.	Acta Soc. Regiae Sci. Indo-Neerl.
in Verh. Nat. Ver. Ned. Ind. Bat.	Acta Soc. Regiae Sci. Indo-Neerl.
Verh. Natuurk. Ver. Nederl. Indie	Acta Soc. Regiae Sci. Indo-Neerl.
Verh. Naturk. Ver. Nederl. Indie	Acta Soc. Regiae Sci. Indo-Neerl.
in Verh. Naturh. Ver. Nederl. Ind. Batav.	Acta Soc. Regiae Sci. Indo-Neerl.
Acad. Colomb. Cienc., Ser. J.A. Lleras	Acad. Col. Ci. Exact., Fis. Nat.
Estud. Morfol. Autoecol. Sist. Angiosperm. (Acad. Colomb. Cienc., Ser. J.A. Lleras, 1)	Acad. Col. Ci. Exact., Fis. Nat.
Tricocc.	Abh. Königl. Akad. Wiss. Berlin
Pl. Hisp.	Icon. Descr. Pl. Nov.
Veg. Erde	Veg. Erde [Engler]
in Engl. Pflanzenw. Afr.	Veg. Erde [Engler]
Fl. Cors. Sp. Nov.	Fl. Cors. Prodr.
Trav. Var. Eur.	Travels Eur. Asia & Africa
Cat. Hort. Bogor.	Cat. Pl. Phan.
Anleit.	Anleit. Kenntn. Gew.
